id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
11,AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Tratamiento de la hipertensión arterial y la angina de pecho,Amlodipina,10 mg,Inhibidor de los canales de calcio,11,23.0,2.23,5.0,0.554,51.29,115.0
12,AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,"{'BLISTER': [10, 4.0], 'CAJA': [100, 40.0]}",Tableta,Tratamiento de la hipertensión arterial y la angina de pecho,Amlodipina,5 mg,Antihipertensivo y antianginoso,12,23.0,1.62,4.0,0.595,37.260000000000005,92.0
13,AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN),"{'JARABE': [1, 85.0]}",Suspensión oral,Antibiótico utilizado en el tratamiento de infecciones bacterianas,Amoxicilina y Ácido Clavulánico,400 mg de amoxicilina y 57 mg de ácido clavulánico cada 12 horas,Inhibe la síntesis de la pared celular bacteriana y protege a la amoxicilina de la degradación por las enzimas bacterianas,13,1.0,51.95,85.0,0.3888235294117647,51.95,85.0
14,AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),"{'BLISTER': [10, 6.0], 'CAJA': [100, 60.0]}",Tableta,Antibiótico utilizado para tratar infecciones bacterianas,Amoxicilina,500 mg,Inhibe la síntesis de la pared celular bacteriana,14,23.0,2.895,6.0,0.5175,66.585,138.0
15,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,"{'BLISTER': [10, 10.0], 'CAJA': [100, 100.0]}",Tableta,Tratamiento de infecciones causadas por bacterias sensibles a la ampicilina,Ampicilina,500 mg,Antibiótico de amplio espectro,15,0.0,4.63,10.0,0.537,0.0,0.0
16,ANTIGRIPITO INFANIL JBE 60 ML,"{'JARABE': [1, 29.0]}",Jarabe,Tratamiento de los síntomas de la gripe en niños,Paracetamol,Según indicación médica,Analgésico y antipirético,16,1.0,16.6,29.0,0.4275862068965517,16.6,29.0
17,ATENOLOL 100 MG BLIST X 10 CAJA X 100ARGUS,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,"Tratamiento de la hipertensión, angina de pecho y arritmias cardiacas",Atenolol,100 mg,"Antihipertensivo, antianginoso, antiarrítmico",17,12.0,1.7,5.0,0.6599999999999999,20.4,60.0
18,ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,"{'BLISTER': [10, 50.0], 'CAJA': [100, 500.0]}",Cápsula,"Tratamiento de la hipertensión arterial, angina de pecho, arritmias cardiacas y prevención de infartos",Atenolol,100 mg,Betabloqueante selectivo,18,0.0,29.95,50.0,0.401,0.0,0.0
19,AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,"{'FRASCO': [1, 23.0]}",Suspensión oral,"Antibiótico utilizado para tratar infecciones causadas por bacterias, como infecciones respiratorias, de la piel, de los ojos, entre otras.",Azitromicina,200 mg/5 ml,"Inhibe la síntesis de proteínas en las bacterias, lo que impide su crecimiento y reproducción.",19,3.0,12.0,23.0,0.4782608695652174,36.0,69.0
20,AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,"{'FRASCO': [1, 25.0], 'SUSPENSION': [1, 25.0]}",Suspensión,Tratamiento de infecciones bacterianas,Azitromicina,200 mg/5 ml,Antibiótico macrólido,20,3.0,14.65,25.0,0.414,43.95,75.0
21,AZITROMICINA 500 MG CAJA X 3 TAB,"{'CAJA': [3, 54.0], 'TABLETA': [1, 18.0]}",Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Antibiótico macrólido,21,9.0,8.04,18.0,0.5533333333333333,72.35999999999999,162.0
22,BENZOATO DE BENCILO FCO X 120 ML SELEC,"{'FRASCO': [1, 19.0]}",Frasco,Antimicótico tópico,Benzoato de bencilo,Aplicar en la zona afectada según indicación médica,Tratamiento de infecciones por hongos en la piel,22,3.0,10.8,19.0,0.431578947368421,32.400000000000006,57.0
23,BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,"{'BOLSA': [1, 9.0]}",Tableta efervescente,Alivio de la acidez estomacal y la indigestión,Bicarbonato de sodio,"1 tableta disuelta en agua, cada 4 horas según sea necesario",Neutraliza el ácido del estómago y alivia la acidez,23,4.0,4.4,9.0,0.5111111111111111,17.6,36.0
24,CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,"{'BLISTER': [10, 6.0], 'CAJA': [100, 60.0]}",Tableta,Suplemento de calcio y vitamina D para prevenir y tratar la deficiencia de estos nutrientes,"Calcio, Vitamina D",1 tableta al día,Aumenta la absorción de calcio en el intestino y promueve la mineralización ósea,24,14.0,3.56,6.0,0.4066666666666667,49.84,84.0
25,CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,"{'BLISTER': [10, 9.0], 'CAJA': [100, 90.0]}",Tableta,Antiepiléptico y estabilizador del estado de ánimo,Carbamazepina,200 mg,Anticonvulsivante,25,16.0,5.0,9.0,0.4444444444444444,80.0,144.0
26,CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Antiepiléptico y estabilizador del estado de ánimo,CARBAMAZEPINA,200 mg,Anticonvulsivante y estabilizador del estado de ánimo,26,13.0,2.595,5.0,0.481,33.735,65.0
27,CEFIXIMA 100MG/5ML X FCO 60 ML ARGUS O CAPLIN,"{'FRASCO': [1, 37.0]}",Suspensión oral,Antibiótico indicado para el tratamiento de infecciones causadas por bacterias sensibles a la cefixima,Cefixima,100mg/5ml,Inhibe la síntesis de la pared celular bacteriana,27,2.0,19.95,37.0,0.4608108108108108,39.9,74.0
28,CEFTRIAXONA 1G VIAL PANAL CAJA X 10 ARGUS,"{'CAJA': [10, 70.0], 'VIAL': [1, 7.0]}",Vial,Antibiótico para el tratamiento de infecciones bacterianas,Ceftriaxona,1g,Inhibe la síntesis de la pared celular bacteriana,28,5.0,4.3,7.0,0.3857142857142857,21.5,35.0
29,CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 10.0], 'CAJA': [100, 100.0]}",Cápsula,"Antiinflamatorio no esteroideo indicado para el alivio del dolor y la inflamación en condiciones como la artritis reumatoide, la osteoartritis y la espondilitis anquilosante.",Celecoxib,200 mg,Inhibidor selectivo de la ciclooxigenasa-2 (COX-2),29,8.0,4.595,10.0,0.5405,36.76,80.0
30,CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,"{'CAJA': [10, 15.0], 'TABLETA': [1, 1.5]}",Tableta,Alivio de los síntomas de la rinitis alérgica y urticaria,Cetirizina,10 mg,Antihistamínico,30,40.0,0.695,1.5,0.5366666666666667,27.8,60.0
31,CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC,"{'FRASCO': [1, 30.0]}",Solución Oftálmica,Tratamiento de infecciones oculares causadas por bacterias susceptibles,Ciprofloxacina,0.3%,Antibiótico de amplio espectro,31,4.0,17.55,30.0,0.415,70.2,120.0
32,CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,"{'BLISTER': [10, 17.0], 'CAJA': [100, 170.0]}",Tableta recubierta,"Prevención de eventos trombóticos en pacientes con enfermedad arterial coronaria, cerebrovascular o periférica",Clopidogrel,75 mg,Antiagregante plaquetario,32,8.0,8.315,17.0,0.5108823529411765,66.52,136.0
33,CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,"{'CREMA': [1, 17.0]}",Crema vaginal,Tratamiento de infecciones vaginales por hongos como la candidiasis,Clotrimazol,Aplicar una pequeña cantidad de crema en la vagina una vez al día durante 7 días,"Antifúngico de amplio espectro que actúa inhibiendo la síntesis del ergosterol en la membrana celular de los hongos, provocando su muerte",33,2.0,9.75,17.0,0.4264705882352941,19.5,34.0
34,CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,"{'CREMA': [1, 16.0]}",Crema vaginal,Tratamiento de infecciones vaginales por hongos,CLOTRIMAZOL,"Aplicar una cantidad suficiente de crema en la vagina una vez al día, preferiblemente antes de acostarse, durante 3 a 7 días","Antifúngico de amplio espectro que actúa impidiendo la síntesis del ergosterol en la membrana celular de los hongos, causando su muerte",34,2.0,8.75,16.0,0.453125,17.5,32.0
35,CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40,"{'FRASCO': [1, 9.0], 'CAJA': [40, 360.0]}",Crema,Tratamiento de infecciones vaginales causadas por hongos,Clotrimazol,Aplicar una cantidad suficiente de crema en la zona afectada dos veces al día durante 7 días,Antifúngico de amplio espectro,35,89.0,5.44,9.0,0.3955555555555555,484.16,801.0
36,COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 2.0], 'CAJA': [100, 20.0]}",Cápsulas,Suplemento vitamínico,Complejo B,1 cápsula al día,Mejora el metabolismo y la función nerviosa,36,15.0,0.8,2.0,0.6,12.0,30.0
37,COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN,"{'CAJA': [10, 400.0], 'JARABE': [1, 40.0], 'SOBRE': [1, 40.0]}",Jarabe,Suplemento vitamínico,Complejo B,1 sobre al día,Suplemento vitamínico para el sistema nervioso,37,1.0,22.95,40.0,0.42625,22.95,40.0
38,COQUELUCHE FCO 120 ML,"{'FRASCO': [1, 39.0]}",Jarabe,Tratamiento de la tos ferina o coqueluche,Pertussis Vaccine,Según indicación médica,Estimula la producción de anticuerpos contra la bacteria Bordetella pertussis,38,1.0,23.85,39.0,0.3884615384615384,23.85,39.0
39,CREMA LASSAR BB COOL 120 GRS,"{'CREMA': [1, 23.0]}",Crema,Crema para el tratamiento de irritaciones de la piel,Óxido de zinc y óxido de magnesio,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,Acción antiinflamatoria y protectora de la piel,39,3.0,13.45,23.0,0.4152173913043478,40.35,69.0
40,CUESIIGERMINA CAJA X 10 AMP PHARMAV,"{'CAJA': [10, 150.0], 'AMPOLLA': [1, 15.0]}",Ampollas,Tratamiento de infecciones bacterianas,Cuesiigerminal,1 ampolla cada 12 horas,Antibiótico de amplio espectro,40,33.0,5.62,15.0,0.6253333333333333,185.46,495.0
41,DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Antihistamínico utilizado para el tratamiento de la rinitis alérgica y la urticaria crónica,Desloratadina,5 mg,Antihistamínico no sedante de segunda generación,41,13.0,2.78,5.0,0.444,36.14,65.0
42,DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,"{'BLISTER': [20, 8.0], 'CAJA': [100, 40.0]}",Tableta,Antihistamínico utilizado para el tratamiento de la rinitis alérgica y urticaria crónica,Desloratadina,5 mg,Antihistamínico no sedante,42,13.0,4.4,8.0,0.4499999999999999,57.2,104.0
43,DESLORTADINA JARABE FCO X 60 ML SELEC,"{'FRASCO': [1, 39.0]}",Jarabe,Antihistamínico para el alivio de los síntomas de la alergia,Desloratadina,5 ml cada 24 horas,Antihistamínico no sedante,43,4.0,22.95,39.0,0.4115384615384616,91.8,156.0
44,DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Cápsula,Antiinflamatorio y antialérgico,Dexametasona,1 cápsula cada 24 horas,Reduce la inflamación y la respuesta inmune del cuerpo,44,11.0,4.0,7.0,0.4285714285714285,44.0,77.0
45,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),"{'BLISTER': [20, 0.95]}",Tableta,Antiinflamatorio esteroideo,Dexametasona,0.5 mg,"Antiinflamatorio, inmunosupresor",45,63.0,0.43,0.95,0.5473684210526316,27.09,59.85
46,DEXTROMETORFANO  JBE 120 ML SELEC,"{'JARABE': [1, 17.0]}",Jarabe,Antitusivo,Dextrometorfano,120 ml,Supresor del reflejo de la tos,46,4.0,9.85,17.0,0.4205882352941176,39.4,68.0
47,DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Cápsulas,Analgésico y antiinflamatorio no esteroideo,Diclofenaco,100 mg,Inhibidor de la síntesis de prostaglandinas,47,9.0,2.875,7.0,0.5892857142857143,25.875,63.0
48,DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,"{'BLISTER': [10, 9.0], 'CAJA': [100, 90.0]}",Cápsulas de gel,Analgésico y antiinflamatorio,Diclofenaco,100 mg,Inhibidor de la síntesis de prostaglandinas,48,8.0,4.4,9.0,0.5111111111111111,35.2,72.0
49,DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,"{'BLISTER': [10, 0.8], 'CAJA': [100, 8.0]}",Cápsulas de gel,"Alivio del dolor y la inflamación en condiciones como artritis, gota, dolor de espalda, entre otros",Diclofenaco,100 mg,Antiinflamatorio no esteroideo (AINE),49,49.0,0.43,0.8,0.4625,21.07,39.2
50,DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100 ARGUS,"{'BLISTER': [10, 2.5], 'CAJA': [100, 25.0]}",Tableta,"Alivio del dolor y la inflamación en condiciones como artritis, dolor muscular, dolor de espalda, dolor de cabeza, entre otros",Diclofenaco potásico,50 mg,Antiinflamatorio no esteroideo (AINE),50,24.0,0.94,2.5,0.624,22.56,60.0
51,DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,"{'BLIS': [10, 2.5], 'CAJA': [100, 25.0]}",Tableta,Analgésico y antiinflamatorio no esteroideo,Diclofenaco Sódico,50 mg,Inhibidor de la síntesis de prostaglandinas,51,12.0,1.265,2.5,0.494,15.18,30.0
52,DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,"{'BLISTER': [10, 17.0], 'CAJA': [100, 170.0]}",Cápsula,Antibiótico utilizado para tratar infecciones causadas por bacterias sensibles a la dicloxacilina,Dicloxacilina,500 mg,Inhibe la síntesis de la pared celular bacteriana,52,9.0,8.35,17.0,0.5088235294117647,75.14999999999999,153.0
53,DIPIRONA AMPOLLA 2 ML CAPLIN,"{'AMPOLLA': [1, 3.0]}",Ampolla,Analgésico y antipirético,Dipirona,2 ml,Analgésico y antipirético,53,11.0,1.75,3.0,0.4166666666666667,19.25,33.0
54,DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,"{'BLISTER': [10, 12.0], 'CAJA': [100, 120.0]}",Cápsulas,Analgésico y antipirético,Paracetamol,100 mg,Analgésica y antipirética,54,10.0,6.5,12.0,0.4583333333333333,65.0,120.0
55,DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,"{'BLISTER': [10, 13.0], 'CAJA': [20, 26.0]}",Cápsulas de gel,Analgésico y antipirético,Ibuprofeno,100 mg,Antiinflamatorio no esteroideo,55,3.0,6.75,13.0,0.4807692307692308,20.25,39.0
56,DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,"{'CAJA': [12, 7.0]}",Solución bucal,Analgésico y antiinflamatorio para el alivio del dolor de dientes y encías,Clorhidrato de benzidamina,Aplicar 3 a 4 veces al día sobre la zona afectada,Analgésico y antiinflamatorio,56,3.0,4.04,7.0,0.4228571428571429,12.12,21.0
57,DOLO-NERVISEL  KIT,"{'KIT': [1, 19.0]}",Tabletas y cápsulas,Alivio del dolor y la inflamación,"Ibuprofeno, Paracetamol, Vitamina B1, Vitamina B6, Vitamina B12",Según indicación médica,"Analgésico, antiinflamatorio, neuroprotector",57,6.0,10.68,19.0,0.4378947368421053,64.08,114.0
58,DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,"{'BLISTER': [10, 4.0], 'CAJA': [50, 20.0]}",Gel Caps,Tratamiento de la ansiedad y el insomnio,Diazepam,25 mgs,Ansiolítico y sedante,58,66.0,1.25,4.0,0.6875,82.5,264.0
59,DROPADEX DUO BLIST X 10 CAJA X 10,"{'BLISTER': [10, 4.5], 'CAJA': [10, 4.5]}",Tableta,Analgésico y antipirético,"Paracetamol, Clorfenamina",1 tableta cada 6 horas,"Analgésico, antipirético y antihistamínico",59,32.0,2.5,4.5,0.4444444444444444,80.0,144.0
60,ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,"{'BLISTER': [20, 8.0], 'CAJA': [100, 40.0]}",Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardíaca,Enalapril,20mg,Inhibidor de la enzima convertidora de angiotensina (IECA),60,16.0,4.37,8.0,0.45375,69.92,128.0
61,ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,"{'BLISTER': [10, 15.0], 'CAJA': [30, 45.0]}",Tabletas,Suplemento digestivo utilizado para mejorar la digestión de los alimentos,Enzimas digestivas,Tomar 1 tableta después de cada comida,Facilita la descomposición de los alimentos en el sistema digestivo,61,5.0,8.03,15.0,0.4646666666666667,40.15,75.0
62,ENZITROL BLIST X 10 CAJA X 100,"{'BLISTER': [10, 13.0], 'CAJA': [100, 130.0]}",Tableta,Tratamiento de enfermedades cardiovasculares,Enalapril,10 mg,Inhibidor de la enzima convertidora de angiotensina,62,14.0,7.92,13.0,0.3907692307692307,110.88,182.0
63,ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,"{'BLISTER': [10, 20.0], 'CAJA': [50, 100.0]}",Tableta,Antibiótico macrólido utilizado para tratar infecciones bacterianas,Eritromicina,500 mg,"Inhibe la síntesis de proteínas en las bacterias, deteniendo su crecimiento y reproducción",63,2.0,11.46,20.0,0.4269999999999999,22.92,40.0
64,ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,"{'FRASCO': [1, 22.0]}",Suspensión,Antibiótico utilizado para tratar infecciones causadas por bacterias,Eritromicina,250 mg/5 ml,"Inhibe la síntesis de proteínas en las bacterias, deteniendo su crecimiento y reproducción",64,1.0,12.15,22.0,0.4477272727272727,12.15,22.0
65,ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL,"{'AMPOLLA': [1, 85.0]}",Ampolleta bebible,Suplemento vitamínico y mineral para el tratamiento de la fatiga y debilidad,Pheniel,1 ampolla al día,Estimulante y revitalizante,65,1.0,50.55,85.0,0.4052941176470588,50.55,85.0
66,ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,"{'BLISTER': [10, 20.0], 'CAJA': [100, 200.0]}",Tableta,"Tratamiento de enfermedades ácido-pépticas como la úlcera gástrica, úlcera duodenal, reflujo gastroesofágico y síndrome de Zollinger-Ellison.",Esomeprazol,40 mg,Inhibidor de la bomba de protones,66,11.0,11.5,20.0,0.425,126.5,220.0
67,ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,"{'CAJA': [30, 600.0], 'BLISTER': [1, 20.0]}",Cápsulas,"Tratamiento de úlceras gástricas, duodenales, esofagitis por reflujo gastroesofágico, síndrome de Zollinger-Ellison, entre otras condiciones relacionadas con la acidez estomacal.",Esomeprazol,40 mg,"Inhibidor de la bomba de protones, reduce la producción de ácido en el estómago y ayuda a aliviar los síntomas relacionados con el exceso de acidez.",67,10.0,10.857,20.0,0.45715,108.57,200.0
68,ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,"{'CAJA': [10, 83.0], 'TABLETA': [1, 8.3]}",Tableta recubierta,"Tratamiento del dolor agudo y crónico, la osteoartritis, la artritis reumatoide y la espondilitis anquilosante",Etoricoxib,90 mg,"Antiinflamatorio no esteroideo (AINE) con propiedades analgésicas, antiinflamatorias y antipiréticas",68,25.0,5.0,8.3,0.3975903614457832,125.0,207.50000000000003
69,EXFLU ADULTO SINUS FCO 120 ML,"{'FRASCO': [1, 32.0]}",Jarabe,Alivio de los síntomas de la gripe y resfriado común,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,"Analgésico, antihistamínico, descongestionante nasal",69,1.0,18.95,32.0,0.4078125,18.95,32.0
70,EXFLU JARABE FCO X 120 ML MULTISINTOMAS,"{'FRASCO': [1, 20.0], 'JARABE': [1, 20.0]}",Jarabe,Alivio de los síntomas de gripa y resfriado común,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,"Analgésico, Antihistamínico, Descongestionante nasal",70,5.0,11.65,20.0,0.4175,58.25,100.0
71,FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,"{'JARABE': [1, 94.0]}",Jarabe,Medicamento utilizado para aliviar la congestión nasal y la tos asociada con resfriados y alergias.,Dexclorfeniramina + Betametasona,"Se recomienda tomar 5 ml cada 6 horas, no exceder de 4 dosis en 24 horas.",La dexclorfeniramina es un antihistamínico que ayuda a aliviar la congestión nasal y la picazón en la nariz y la garganta. La betametasona es un corticosteroide que reduce la inflamación y alivia la tos.,71,1.0,59.95,94.0,0.3622340425531914,59.95,94.0
72,FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,"{'CAJA': [2, 12.0], 'CAPSULA': [1, 6.0]}",Cápsulas,Tratamiento de infecciones causadas por hongos,Fluconazol,150 mg,Antifúngico,72,5.0,3.25,6.0,0.4583333333333333,16.25,30.0
73,FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,"{'CAJA': [30, 45.0], 'BLISTER': [10, 15.0]}",Tableta,Suplemento dietético que ayuda a mantener la salud del hígado y mejorar la función cerebral,Fosfolípidos esenciales,Tomar 1 tableta al día,Ayuda a mejorar la función hepática y cerebral,73,12.0,8.65,15.0,0.4233333333333333,103.8,180.0
74,GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,"{'BLISTER': [10, 3.0], 'CAJA': [100, 30.0]}",Tableta,Tratamiento de la epilepsia y neuralgia postherpética,Gabapentina,400 mg,Antiepiléptico y analgésico,74,46.0,1.7,3.0,0.4333333333333333,78.2,138.0
75,GASTROPRAL BLIST X 10 CAJA X 100,"{'BLISTER': [10, 12.0], 'CAJA': [100, 120.0]}",Tableta,Tratamiento de la acidez estomacal y la indigestión,Ranitidina,Tomar 1 tableta cada 12 horas,Inhibidor de la secreción ácida gástrica,75,14.0,5.895,12.0,0.50875,82.53,168.0
76,GENCLOBEN CREMA TUBO 30 GMS,"{'CREMA': [1, 24.0]}",Crema,"Tratamiento de dermatitis, eczemas, picaduras de insectos, quemaduras leves y otras afecciones de la piel",Gentamicina y Betametasona,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,"Antiinflamatorio, antibacteriano y antiprurítico",76,2.0,13.95,24.0,0.41875,27.9,48.0
77,GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,"{'BLISTER': [10, 12.0], 'CAJA': [30, 36.0]}",Cápsula gelatinosa,Suplemento alimenticio para adultos mayores,Ginseng rojo,Tomar una cápsula al día,Estimulante y revitalizante,77,9.0,5.855,12.0,0.5120833333333333,52.69500000000001,108.0
78,GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,"{'BLISTER': [10, 2.0], 'CAJA': [50, 10.0]}",Cápsulas,Suplemento dietético utilizado para mejorar la circulación sanguínea y la función cerebral.,Extracto de Ginkgo Biloba,"Tomar 1 cápsula al día, preferiblemente con alimentos.","Mejora la circulación sanguínea periférica y cerebral, aumentando el flujo de oxígeno y nutrientes a nivel celular.",78,39.0,1.12,2.0,0.4399999999999999,43.68000000000001,78.0
79,GINSENG JALEA REAL CAJA X 10 ML CAPLIN,"{'CAJA': [10, 35.0]}",Jalea,Suplemento dietético,Ginseng,10 ml,Estimulante y revitalizante,79,1.0,18.8,35.0,0.4628571428571428,18.8,35.0
80,GLICITOS JBE FCO X 120 ML,"{'FRASCO': [1, 19.0]}",Jarabe,Tratamiento de la diabetes tipo 2,Metformina,"La dosis usual es de 500 mg a 2000 mg al día, dividida en 2 o 3 dosis",Reduce la producción de glucosa en el hígado y mejora la sensibilidad a la insulina en los tejidos,80,5.0,10.65,19.0,0.4394736842105263,53.25,95.0
81,GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),"{'CAJA': [14, 126.0], 'SOBRE': [1, 9.0]}",Sobre,Analgésico y antiinflamatorio no esteroideo,Meloxicam + Glucosamina,1 sobre cada 24 horas,Alivio del dolor y la inflamación,81,14.0,5.34,9.0,0.4066666666666667,74.75999999999999,126.0
