id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
45,CLORA+DEXA+NAFA GOTAS SELEC,"{'FRASCO': [1, 28.0]}",Gotas óticas,Antiinflamatorio y antimicrobiano para infecciones del oído,Cloranfenicol + Dexametasona + Neomicina,No especificado,Combina efectos antiinflamatorios y antimicrobianos,45,3.0,15.7,28.0,0.4392857142857143,47.1,84.0
46,CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,"{'FRASCO': [1, 24.0]}",Colirio,Antiinflamatorio para ojos,Cloranfenicol + Dexametasona,No especificado,Reduce la inflamación ocular,46,4.0,13.7,24.0,0.4291666666666667,54.8,96.0
47,CLORANFENICOL 0.5% GOTAS 15 ML SELEC,"{'FRASCO': [1, 16.0]}",Gotas oftálmicas,Antibiótico para infecciones oculares,Cloranfenicol,0.5%,Inhibe la síntesis de proteínas bacterianas,47,2.0,8.8,16.0,0.4499999999999999,17.6,32.0
48,CLORFENIRAMINA 10 MG AMP SELEC,"{'AMPOLLA': [1, 3.5]}",Ampollas,Antihistamínico para alergias,Clorfeniramina,10 mg,Bloquea los receptores de histamina,48,6.0,1.89,3.5,0.46,11.34,21.0
49,CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,"{'BLISTER': [20, 4.0], 'CAJA': [100, 20.0]}",Tabletas,Antihistamínico para alergias,Clorfeniramina,4 mg,Bloquea los receptores de histamina,49,4.0,1.9,4.0,0.525,7.6,16.0
50,CLORFENIRAMINA MALEATO 2MG JBE. SELECT,"{'JARABE': [1, 10.0]}",Jarabe,Antihistamínico para alergias,Clorfeniramina maleato,2 mg,Bloquea los receptores de histamina,50,3.0,6.05,10.0,0.395,18.15,30.0
51,CLOROMILAN CAJA X 102,"{'CAJA': [102, 1.0]}",Tabletas,Antibiótico,Cloranfenicol,102 tabletas por caja,Inhibe la síntesis de proteínas en bacterias,51,110.0,0.376,1.0,0.624,41.36,110.0
52,CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,"{'CREMA': [1, 10.0]}",Crema,Antimicótico,Clotrimazol,1 %,Inhibe el crecimiento de hongos y levaduras,52,2.0,5.65,10.0,0.4349999999999999,11.3,20.0
53,CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,"{'TUBO': [1, 9.0]}",Gel tópico,Antimicótico,Clotrimazol,1 %,Tratamiento de infecciones por hongos en la piel,53,2.0,3.6,9.0,0.6000000000000001,7.2,18.0
54,CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,"{'CAJA': [1, 20.0]}",Óvulos vaginales,Antimicótico,Clotrimazol,100 mg por óvulo,Tratamiento de infecciones vaginales por hongos,54,2.0,11.7,20.0,0.415,23.4,40.0
55,CLOTRIPLEX TUBO 15 GMS,"{'TUBO': [1, 16.0]}",Crema,Antimicótico,Clotrimazol,15 g por tubo,Tratamiento de infecciones por hongos en la piel,55,2.0,9.5,16.0,0.40625,19.0,32.0
56,COFAL FORTE TARRO 60 GRS ROJO,"{'BOTE': [1, 0.0]}",Pomada,Analgésico y antiinflamatorio,"Salicilato de metilo, mentol y alcanfor",60 g por tarro,Alivio del dolor y la inflamación muscular,56,0.0,0.0,0.0,,0.0,0.0
57,COFAL TARRO 60 GRS AZUL,"{'BOTE': [1, 0.0]}",Pomada,Analgésico y antiinflamatorio,"Salicilato de metilo, mentol y alcanfor",60 g por tarro,Alivio del dolor y la inflamación muscular,57,0.0,0.0,0.0,,0.0,0.0
58,COLAGENO CAJA X 100 CAP GEL BLISTER X 10,"{'CAJA': [100, 170.0], 'BLISTER': [10, 17.0]}",Cápsulas de gel,Suplemento dietético,Colágeno,"100 cápsulas por caja, 10 cápsulas por blister","Contribuye a la salud de la piel, articulaciones y huesos",58,11.0,9.195,17.0,0.4591176470588235,101.145,187.0
59,COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,"{'BLISTER': [20, 20.0], 'CAJA': [100, 100.0]}",Tabletas,Antiinflamatorio,Colchicina,"0.5 mg por tableta, 20 tabletas por blister, 100 tabletas por caja",Tratamiento de la gota y otras condiciones inflamatorias,59,8.0,11.7,20.0,0.415,93.6,160.0
60,COLCHICINA 0.5MG BLISTER X 10 CAPLIN,"{'BLISTER': [1, 10.0]}",Cápsulas,Antiinflamatorio,Colchicina,"0.5 mg por cápsula, 10 cápsulas por blister",Tratamiento de la gota y otras condiciones inflamatorias,60,8.0,6.09,10.0,0.391,48.72,80.0
61,COLECTOR DE HECES C/PALETA 60ML,"{'BOTE': [1, 3.0]}",Solución,Dispositivo médico utilizado para la recolección de muestras de heces con una paleta incorporada.,No aplica,Seguir instrucciones del fabricante,No aplica,61,13.0,1.2,3.0,0.6,15.6,39.0
62,COLECTOR DE ORINA 120ML,"{'BOTE': [1, 3.0]}",Solución,Dispositivo médico utilizado para la recolección de muestras de orina.,No aplica,Seguir instrucciones del fabricante,No aplica,62,11.0,1.35,3.0,0.5499999999999999,14.85,33.0
63,COLECTOR ORINA PEDIATRICO BOLSA OPERSON,"{'BOLSA': [1, 3.0]}",Bolsa,Dispositivo médico pediátrico utilizado para la recolección de muestras de orina en niños.,No aplica,Seguir instrucciones del fabricante,No aplica,63,2.0,1.35,3.0,0.5499999999999999,2.7,6.0
64,CROSPOVIDONA 20%  SUSP 60 ML SELEC,"{'SUSPENSION': [1, 58.0]}",Suspensión,Medicamento utilizado como agente aglutinante y estabilizante en formulaciones farmacéuticas.,Crospovidona,Según indicación médica,Agente aglutinante y estabilizante,64,1.0,34.05,58.0,0.4129310344827587,34.05,58.0
65,CYCLOFEM AMPOLLA PANAL 1 ML,"{'AMPOLLA': [1, 40.0]}",Ampolla,Anticonceptivo inyectable de larga duración.,No aplica,Según indicación médica,Anticonceptivo,65,2.0,24.0,40.0,0.4,48.0,80.0
66,DENGUINA CAJA X 100 BLIST X 10,"{'CAJA': [100, 10.0], 'BLISTER': [10, 1.0]}",Tableta,Medicamento utilizado para el tratamiento de la fiebre del dengue.,No aplica,Según indicación médica,Tratamiento de la fiebre del dengue,66,68.0,0.48,1.0,0.52,32.64,68.0
67,DEXA+NEOMICINA 1 % OFTALMICA SELEC,"{'FRASCO': [1, 26.0]}",Colirio,Colirio utilizado en el tratamiento de infecciones oculares.,"Dexametasona, Neomicina",Según indicación médica,Antiinflamatorio y antibiótico oftálmico,67,2.0,14.3,26.0,0.4499999999999999,28.6,52.0
68,DEXAMETASONA AMPOLLA 8 MG CAPLIN,"{'AMPOLLA': [1, 4.0]}",Ampolla,Medicamento corticoide utilizado en diversas condiciones inflamatorias.,Dexametasona,Según indicación médica,Corticoide antiinflamatorio,68,12.0,1.92,4.0,0.52,23.04,48.0
69,DEXANERVISEL KIT,"{'KIT': [1, 19.0]}",Kit,Kit que contiene medicamentos para el tratamiento de la ansiedad y el estrés.,No aplica,Según indicación médica,Tratamiento de la ansiedad y el estrés,69,3.0,11.4,19.0,0.3999999999999999,34.2,57.0
70,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),"{'BLISTER': [20, 19.0], 'TABLETA': [1, 0.95]}",Tableta,Medicamento corticoide utilizado en diversas condiciones inflamatorias.,Dexametasona,Según indicación médica,Corticoide antiinflamatorio,70,0.0,0.47,0.95,0.5052631578947369,0.0,0.0
71,DICLOFENACO 1% GEL TUBO 20 GR SELECT,"{'TUBO': [1, 12.0]}",Gel,Antiinflamatorio tópico,Diclofenaco,1%,Analgésico y antiinflamatorio,71,2.0,6.7,12.0,0.4416666666666666,13.4,24.0
72,DICLOFENACO 1% GEL TUBO 25 GR BALAXI,"{'TUBO': [1, 9.0]}",Gel,Antiinflamatorio tópico,Diclofenaco,1%,Analgésico y antiinflamatorio,72,2.0,4.8,9.0,0.4666666666666667,9.6,18.0
73,DICLOFENACO ACIDO LIBRE 9MG FCO 120 ML SELE,"{'FRASCO': [1, 20.0]}",Solución oral,Antiinflamatorio no esteroideo,Diclofenaco,9mg/ml,Analgésico y antiinflamatorio,73,4.0,11.9,20.0,0.4049999999999999,47.6,80.0
74,DICLOFENACO AMPOLLA 75 MGS,"{'AMPOLLA': [1, 4.0]}",Ampolla,Antiinflamatorio no esteroideo,Diclofenaco,75mg,Analgésico y antiinflamatorio,74,17.0,0.75,4.0,0.8125,12.75,68.0
75,DICLOFENACO POT 50 MGS BLIST X 10 CAJA X 100 SELEC,"{'BLISTER': [10, 2.5], 'CAJA': [100, 25.0]}",Tableta,Antiinflamatorio no esteroideo,Diclofenaco potásico,50mg,Analgésico y antiinflamatorio,75,35.0,1.26,2.5,0.496,44.1,87.5
76,DOLOFOR 500 MGS (DIPIRONA MAGNESICA) BLIST X 10,"{'BLISTER': [10, 20.0], 'TABLETA': [1, 2.0]}",Tableta,Analgésico y antipirético,Dipirona magnésica,500mg,Analgésico y antipirético,76,2.0,1.12,2.0,0.4399999999999999,2.24,4.0
77,DOLONERVISEL BLIST X 10 CAJA X 100,"{'BLISTER': [10, 11.0], 'CAJA': [100, 110.0]}",Tableta,Suplemento vitamínico para el sistema nervioso,Vitaminas del complejo B,Varía según la vitamina,Suplemento vitamínico,77,10.0,6.52,11.0,0.4072727272727273,65.19999999999999,110.0
78,DROPA GEL (KETOPROFENO 2.5%) 50G,"{'GELATINA BLANDA': [1, 40.0]}",Gel,Antiinflamatorio tópico,Ketoprofeno,2.5%,Analgésico y antiinflamatorio,78,1.0,21.15,40.0,0.47125,21.15,40.0
79,EFFCEE + ZINC  CAJA X 12 TAB. SOBRE X 4,"{'CAJA': [12, 54.0], 'SOBRE': [4, 18.0]}",Tableta efervescente,Suplemento vitamínico con zinc,"Vitaminas C y E, Zinc",Varía según la vitamina,Suplemento vitamínico,79,2.0,9.6,18.0,0.4666666666666667,19.2,36.0
80,ENALAPRIL 10 MGS BLISTER X 20  CAJA X 100 SELEC,"{'BLISTER': [20, 8.0], 'CAJA': [100, 40.0]}",Tableta,Antihipertensivo,Enalapril,10mg,Inhibidor de la enzima convertidora de angiotensina,80,11.0,3.52,8.0,0.56,38.72,88.0
83,EX -FLU ANTIGRIPAL GOTAS 30ML SELEC,"{'FRASCO': [1, 25.0]}",Gotas,Antigripal,"Descongestionante nasal, antitusígeno, antipirético",Varía según la presentación,"Descongestionante nasal, antitusígeno, antipirético",83,2.0,14.15,25.0,0.434,28.3,50.0
84,EX -FLU TOS 120 ML SELEC,"{'JARABE': [1, 41.0]}",Jarabe,Antitusígeno,Antitusígeno,Varía según la presentación,Antitusígeno,84,5.0,24.55,41.0,0.4012195121951219,122.75,205.0
85,EXFLU AMPOLLA PANAL SELEC,"{'AMPOLLA': [1, 8.0]}",Ampollas,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal,85,5.0,4.21,8.0,0.47375,21.05,40.0
86,EXFLU ANTIGRIPAL BLISTER X 10 CAJA X 70,"{'BLISTER': [10, 0.9], 'CAJA': [70, 6.3]}",Tabletas,Antigripal,"Descongestionante nasal, antitusígeno, antipirético",Varía según la presentación,"Descongestionante nasal, antitusígeno, antipirético",86,84.0,0.5,0.9,0.4444444444444445,42.0,75.60000000000001
87,EX-FLU KIT AMPOLLA SELEC,"{'KIT': [1, 20.0]}",Kit,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal,87,3.0,10.6,20.0,0.47,31.8,60.0
88,EX-FLU NIÑOS SINUS 120 ML,"{'FRASCO': [1, 23.0]}",Jarabe,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal,88,2.0,12.9,23.0,0.4391304347826086,25.8,46.0
89,FAMOTIDINA 40 MG CAJA X 100 TAB CAPLIN,"{'CAJA': [100, 500.0], 'TABLETA': [1, 5.0]}",Tabletas,Antiulceroso,Famotidina,40 mg,Antagonista de los receptores H2,89,5.800000000000001,1.8,5.0,0.64,10.44,29.000000000000004
90,FERROCITON B CAJA X 10 AMP BEBIBLES,"{'CAJA': [10, 750.0], 'AMPOLLA': [1, 75.0]}",Ampollas bebibles,Suplemento de hierro,Hierro,Varía según la presentación,Suplemento de hierro,90,1.0,45.6,75.0,0.3919999999999999,45.6,75.0
91,FLUCONAZOL 150 MGS CAJA X 2 CAPS SELEC,"{'CAJA': [1, 6.0]}",Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,150 mg,Antifúngico,91,3.0,3.55,6.0,0.4083333333333334,10.65,18.0
92,FLUCONAZOL 200 MG  X 2 CAP. CAPLIN,"{'CAJA': [1, 6.0]}",Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico,92,3.0,2.4,6.0,0.6,7.199999999999999,18.0
93,FLUCONAZOL 200 MG X 4 CAPS HIPERFARMA,"{'CAPSULA': [1, 15.0]}",Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico,93,6.0,8.7,15.0,0.42,52.2,90.0
94,FLUCONAZOL 200MG SELECT X2 TAB CAJA,"{'CAJA': [1, 8.0]}",Tabletas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico,94,4.0,4.45,8.0,0.44375,17.8,32.0
95,FLUFIN ALERGIAS CAJA X 50 BLIS X 10 GEL BLANDA,"{'CAJA': [50, 6.0], 'BLISTER': [10, 1.2]}",Gel blanda,Alivio de síntomas de alergias,Desconocido,50 blísters x 10 g,Antihistamínico,95,105.0,0.69,1.2,0.425,72.44999999999999,126.0
96,FLUFIN AM SOBRE 2 GEL CAPS CAPLIN,"{'CAJA': [1, 3.5]}",Cápsulas,Alivio de síntomas de alergias,Desconocido,2 cápsulas,Antihistamínico,96,10.0,1.8,3.5,0.4857142857142857,18.0,35.0
97,FUROSEMIDA 20 MG AMPOLLA 2 ML CAPLIN,"{'AMPOLLA': [1, 4.0]}",Ampolla,Diurético,Furosemida,20 mg,Diurético de asa,97,4.0,2.24,4.0,0.4399999999999999,8.96,16.0
98,FUROSEMIDA 40 MG CAJA X 100 BLIST X 10 CAPLIN,"{'CAJA': [100, 30.0], 'BLISTER': [10, 3.0]}",Comprimidos,Diurético,Furosemida,40 mg,Diurético de asa,98,13.0,0.84,3.0,0.7200000000000001,10.92,39.0
99,FUROSEMIDA 40MG BLISTER X 10 SELEC,"{'BLISTER': [10, 5.0]}",Comprimidos,Diurético,Furosemida,40 mg,Diurético de asa,99,2.0,2.24,5.0,0.5519999999999999,4.48,10.0
100,GENTAMICINA 80 MG/2ML AMPOLLA CAPLIN,"{'AMPOLLA': [1, 3.0]}",Ampolla,Antibiótico,Gentamicina,80 mg/2 ml,Antibiótico aminoglucósido,100,8.0,1.2,3.0,0.6,9.6,24.0
101,GLIBENCLAMIDA 5 MG   BLISTER X 20 CAJA X 100 SELEC,"{'BLISTER': [20, 4.0], 'CAJA': [100, 20.0]}",Tableta,Tratamiento de la diabetes mellitus tipo 2,Glibenclamida,5 mg,Estimulante de la secreción de insulina,101,4.0,1.92,4.0,0.52,7.68,16.0
102,GLIMEPIRIDA 4 MG BLISTER X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 6.0], 'CAJA': [100, 60.0]}",Tableta,Tratamiento de la diabetes mellitus tipo 2,Glimepirida,4 mg,Estimulante de la secreción de insulina,102,9.0,3.36,6.0,0.44,30.24,54.0
