medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
LISTERINE 250 ML,Enjuague bucal,"Para la higiene bucal diaria, ayuda a reducir la placa y prevenir la gingivitis.","Aceites esenciales (mentol, eucaliptol, timol, salicilato de metilo)",Enjuagar la boca con 20 ml durante 30 segundos dos veces al día después del cepillado.,Antiséptico bucal que reduce la placa bacteriana y mejora la salud de las encías.
LISTERINE 500 ML,Enjuague bucal,"Para la higiene bucal diaria, ayuda a reducir la placa y prevenir la gingivitis.","Aceites esenciales (mentol, eucaliptol, timol, salicilato de metilo)",Enjuagar la boca con 20 ml durante 30 segundos dos veces al día después del cepillado.,Antiséptico bucal que reduce la placa bacteriana y mejora la salud de las encías.
MEMBRANA BIO FILM UNIDAD 10 X 10,Membrana,Utilizado para cubrir heridas y promover la cicatrización.,No aplica,"Aplicar directamente sobre la herida, cambiando según indicaciones médicas.",Proporciona un ambiente húmedo que favorece la cicatrización.
MICROGINON GENERICO X 28 TABS QUIFA,Tabletas,Anticonceptivo oral para la prevención del embarazo.,"Levonorgestrel, Etinilestradiol",Tomar una tableta diaria a la misma hora durante 28 días consecutivos.,Inhibe la ovulación y provoca cambios en el moco cervical.
MICROPORE NEXCARE BLANCO 2 X 10 YD,Cinta adhesiva,Para fijar apósitos o vendajes en la piel.,No aplica,Cortar la cantidad necesaria y aplicar sobre el apósito.,Proporciona una fijación segura y es suave con la piel.
MICROPORE NEXCARE BLANCO 1 X 10,Cinta adhesiva,Para fijar apósitos o vendajes en la piel.,No aplica,Cortar la cantidad necesaria y aplicar sobre el apósito.,Proporciona una fijación segura y es suave con la piel.
MICROPORE NEXCARE BLANCO 1/2 X 10 YD,Cinta adhesiva,Para fijar apósitos o vendajes en la piel.,No aplica,Cortar la cantidad necesaria y aplicar sobre el apósito.,Proporciona una fijación segura y es suave con la piel.
MICROPORE NEXCARE PIEL 1 X 10 YDS,Cinta adhesiva,Para fijar apósitos o vendajes en la piel.,No aplica,Cortar la cantidad necesaria y aplicar sobre el apósito.,Proporciona una fijación segura y es suave con la piel.
MICROPORE NEXCARE PIEL 1/2 X 10 YD,Cinta adhesiva,Para fijar apósitos o vendajes en la piel.,No aplica,Cortar la cantidad necesaria y aplicar sobre el apósito.,Proporciona una fijación segura y es suave con la piel.
MUÑEQUERA,Soporte ortopédico,Se utiliza para proporcionar soporte y estabilidad a la muñeca.,No aplica,Usar según las indicaciones del médico o fisioterapeuta.,No aplica
NEXT DIA CAJA X 40 BLIST X 10,Tableta,Alivio de síntomas de resfriado y gripe durante el día.,"Paracetamol, fenilefrina, clorfenamina","1 tableta cada 6 horas según sea necesario, no exceder 4 tabletas en 24 horas.","Analgésico, descongestionante y antihistamínico."
NEXT NOCHE CAJA X 40 BLISTER X 10,Tableta,Alivio de síntomas de resfriado y gripe durante la noche.,"Paracetamol, fenilefrina, clorfenamina, dextrometorfano","1 tableta antes de dormir, no exceder 1 tableta en 24 horas.","Analgésico, descongestionante, antihistamínico y antitusivo."
NOMAGEST KIT,Combinación de tabletas,Tratamiento hormonal para condiciones específicas.,"Varía según el kit, generalmente incluye progesterona y estrógenos.","Según indicación médica, generalmente un ciclo mensual.",Regulación hormonal.
NORFLOXACINA 400 MGS BLISTER X 10 BACTERIOTAL CAJA X 20,Tableta,Tratamiento de infecciones bacterianas.,Norfloxacina,"1 tableta cada 12 horas durante 7 a 14 días, según indicación médica.",Antibacteriano de amplio espectro.
PASTILLA BOTANICAL SLIMING (MEIZY TANG) X 30,Cápsula,Suplemento para la pérdida de peso.,Extractos de plantas naturales,1 cápsula diaria antes del desayuno.,Supresor del apetito y promotor del metabolismo.
PASTILLA BURN 7 X 30,Cápsula,Suplemento para la pérdida de peso.,Ingredientes naturales para quemar grasa,1 cápsula diaria antes del desayuno.,Acelerador del metabolismo y quemador de grasa.
PASTILLA FRUTA PLANTA X 30,Cápsula,Suplemento para la pérdida de peso.,Extractos de frutas y plantas,1 cápsula diaria antes del desayuno.,Supresor del apetito y promotor del metabolismo.
PASTILLA LIPO PRO X 30,Cápsula,Suplemento para la pérdida de peso.,Ingredientes naturales para quemar grasa,1 cápsula diaria antes del desayuno.,Acelerador del metabolismo y quemador de grasa.
PASTILLA RAPIDLY SLIMMING X 30,Cápsula,Suplemento para la pérdida de peso.,Extractos de plantas naturales,1 cápsula diaria antes del desayuno.,Supresor del apetito y promotor del metabolismo.
PASTILLA TOMATO X 30,Tableta,Suplemento dietético,Extracto de tomate,Tomar 1 tableta al día,Antioxidante
PEDIALYTE CEREZA 500 ML,Solución oral,Rehidratación oral,Electrolitos,Beber según las indicaciones médicas o hasta 1 litro al día,Rehidratante
PEDIALYTE CLASICO COCO 500 ML,Solución oral,Rehidratación oral,Electrolitos,Beber según las indicaciones médicas o hasta 1 litro al día,Rehidratante
PEDIALYTE FRESA 500 ML 60,Solución oral,Rehidratación oral,Electrolitos,Beber según las indicaciones médicas o hasta 1 litro al día,Rehidratante
PEDIALYTE MANZANA 500 ML 60,Solución oral,Rehidratación oral,Electrolitos,Beber según las indicaciones médicas o hasta 1 litro al día,Rehidratante
PEDIALYTE UVA 500 ML 60,Solución oral,Rehidratación oral,Electrolitos,Beber según las indicaciones médicas o hasta 1 litro al día,Rehidratante
PENICILINA POMADA,Pomada,Tratamiento de infecciones bacterianas en la piel,Penicilina,Aplicar una capa delgada sobre el área afectada 2-3 veces al día,Antibacteriano
PIOJIN BURBUJAS CARTON X 12 BURBUJAS,Burbujas para baño,Tratamiento contra piojos,Permetrina,Usar una burbuja por baño según las indicaciones,Pediculicida
PLAN B CARTERITA X 2 DISPENSADOR X 12,Tableta,Anticoncepción de emergencia,Levonorgestrel,Tomar 1 tableta lo antes posible después del coito sin protección,Anticonceptivo de emergencia
PRINCIPAL FORTE BLIST X 5 CAJA X 60,Tableta,Analgésico y antiinflamatorio,Ibuprofeno,Tomar 1 tableta cada 6-8 horas según sea necesario,Analgésico y antiinflamatorio
PROGESTIN DEPOT 250 KIT,Inyección,Anticonceptivo hormonal de larga duración.,Medroxiprogesterona,Una inyección cada 3 meses.,Inhibe la ovulación y altera el endometrio.
PROPANOLOL 40 MG BLISTER X 20 TABS CAJA X 100 INFASA,Tabletas,"Tratamiento de la hipertensión, angina de pecho y arritmias.",Propranolol,40 mg dos veces al día.,Bloqueador beta-adrenérgico no selectivo.
PRUEBA DE GLUCOSA,Tira reactiva,Medición de los niveles de glucosa en sangre.,N/A,Uso según indicaciones del dispositivo de medición.,N/A
PRUEBA DE OXIGENO,Sensor,Medición de la saturación de oxígeno en sangre.,N/A,Uso según indicaciones del dispositivo de medición.,N/A
RANITIDINA 50 MGS/2ML X 10 AMPOLLAS VITALIS,Inyección,Tratamiento de úlceras gástricas y reflujo gastroesofágico.,Ranitidina,50 mg cada 6 a 8 horas por vía intravenosa.,Antagonista de los receptores H2 de la histamina.
RODILLERA,Dispositivo ortopédico,Soporte para la rodilla en casos de lesiones o post-cirugía.,N/A,Uso según necesidad y recomendación médica.,N/A
ROSUVASTATINA 20 MG BLIST X 10 SUVAATIN,Tabletas,Reducción de los niveles de colesterol y prevención de enfermedades cardiovasculares.,Rosuvastatina,20 mg una vez al día.,Inhibidor de la HMG-CoA reductasa (estatinas).
SITAGLIPTINA PHARMADEL BLIST X 10 TAB,Tabletas,Tratamiento de la diabetes tipo 2.,Sitagliptina,100 mg una vez al día.,Inhibidor de la dipeptidil peptidasa-4 (DPP-4).
SOLUCION SALINA 500 ML,Solución,Rehidratación y dilución de medicamentos para administración intravenosa.,Cloruro de sodio,Según las necesidades del paciente y prescripción médica.,Solución isotónica para rehidratación.
SPASMO CIBALGINA BLIST X 10 TAB CAJA X 100,Tabletas,Alivio de espasmos y dolor abdominal.,Metamizol sódico,1-2 tabletas cada 8 horas según necesidad.,Analgésico y antiespasmódico.
SUEROX ALOE VERA/LYCHE 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX COCO 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX FRESA MENTA 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX FRESA/KIGUI 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX FRUTOS ROJOS 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX LIMA LIMON 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX MANZANA 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX MORA AZUL/ HIERBABUENA 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX NARANAJA/ MANDARINA 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SUEROX UVA 630 ML,Solución oral,Rehidratación oral,Electrolitos,Consumir 1 botella de 630 ml al día o según indicación médica.,Rehidratante y restaurador de electrolitos
SULFADIAZINA DE PLATA GF CREMA 1% X 15G,Crema,Tratamiento de quemaduras para prevenir infecciones.,Sulfadiazina de plata,Aplicar una capa delgada sobre la zona afectada una o dos veces al día.,Antibacteriano tópico
TE DIGESTIVO CAJA X 20 SOBRES,Té en sobres,Ayuda en la digestión y alivia molestias estomacales.,Mezcla de hierbas digestivas,Infusionar un sobre en agua caliente y consumir después de las comidas.,Digestivo natural
TE MORINGA CAJA X 20 SOBRES,Té en sobres,Suplemento alimenticio con propiedades antioxidantes.,Moringa oleifera,Infusionar un sobre en agua caliente y consumir una o dos veces al día.,Antioxidante y suplemento nutricional
TIAZIL HIDRO/AMILORIDA 50/5 BLIST X 10 INFASA,Tabletas,Tratamiento de la hipertensión y edema.,Hidroclorotiazida y Amilorida,"Una tableta al día, preferiblemente por la mañana.",Diurético y antihipertensivo
TOBILLERA,Dispositivo médico,Soporte para el tobillo en caso de lesiones o esguinces.,No aplica,Usar según indicaciones médicas o necesidad de soporte.,Soporte ortopédico
TOMA DE PRESION,Dispositivo médico,Medición de la presión arterial.,No aplica,Usar según las instrucciones del dispositivo.,Monitoreo de presión arterial
TROPIUM -750 BROMURO DE IPATROPIUM 750 MCG/ML,Solución para inhalación,Tratamiento del broncoespasmo asociado con EPOC.,Bromuro de ipratropio,"Inhalar según prescripción médica, generalmente 2 a 4 veces al día.",Broncodilatador
URIKEM 300 CAJA X 30 BLIST X 10,Tabletas,Tratamiento de la hiperuricemia en pacientes con gota.,Alopurinol,"Una tableta al día, ajustada según niveles de ácido úrico.",Inhibidor de la xantina oxidasa
URIN BLIST X 5 TAB CAJA X 100,Tabletas,Alivio de síntomas urinarios.,Mezcla de extractos herbales,Una tableta dos veces al día.,Suplemento para la salud urinaria
VIGORLAX MULTIVITAMINICO CAJA X 30 TABLETAS,Tabletas,Suplemento multivitamínico para mejorar la salud general.,Multivitaminas y minerales,Una tableta al día.,Suplemento nutricional
"VIVE COOR SAB (UV,NAR, FRE,CHO,MAN, MEN)",Preservativos,Uso para la prevención del embarazo y enfermedades de transmisión sexual.,Látex natural,Usar un preservativo nuevo antes de cada acto sexual.,Barreras físicas para evitar el embarazo y la transmisión de ETS.
VIVE RETARDANTE TEXT 8 CAJAS X 3 UND,Preservativos,"Uso para la prevención del embarazo y enfermedades de transmisión sexual, con efecto retardante.",Látex natural con benzocaína,Usar un preservativo nuevo antes de cada acto sexual.,Barreras físicas con efecto retardante para prolongar la actividad sexual.
VIVE SENSITIVO 8 CAJAS X 3 UND,Preservativos,"Uso para la prevención del embarazo y enfermedades de transmisión sexual, con mayor sensibilidad.",Látex natural,Usar un preservativo nuevo antes de cada acto sexual.,Barreras físicas con mayor sensibilidad para una experiencia más natural.
WINASORB ADULTO CAJA X 100 BLIST X 4,Tabletas,Uso para el alivio de síntomas de indigestión y acidez estomacal.,Carbonato de calcio,"Tomar 1-2 tabletas masticables cuando sea necesario, no exceder de 7 tabletas en 24 horas.",Neutraliza el ácido estomacal para aliviar la acidez y la indigestión.
WINASORB NIÑOS CAJA X 100 BLIST X 4,Tabletas masticables,Uso para el alivio de síntomas de indigestión y acidez estomacal en niños.,Carbonato de calcio,"Tomar 1 tableta masticable cuando sea necesario, no exceder de 3 tabletas en 24 horas.",Neutraliza el ácido estomacal para aliviar la acidez y la indigestión en niños.
YES NOT (PRUEBA DE EMB) CASSETT,Prueba de embarazo,Uso para la detección de embarazo mediante la detección de la hormona hCG en orina.,Anticuerpos anti-hCG,Realizar la prueba con la primera orina de la mañana para mayor precisión.,Detección de la hormona hCG para confirmar o descartar embarazo.
