medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
CROMATONBIC FERRO CAJA X 10 AMP BEBIBLES,Ampollas bebibles,Suplemento de hierro y vitaminas,Hierro y vitaminas,Según indicación médica,Suplemento nutricional
CURITAS CAJA X 100 CUREFAST,Curitas adhesivas,Cubrir heridas y cortaduras,No aplica,Según necesidad,Protección de heridas
CYTOTTEC CAJA X 28 TAB BLIST X 14 TAB SUBLINGUAL,Tabletas sublinguales,Inducción del parto y tratamiento de úlceras gástricas,Misoprostol,Según indicación médica,Prostaglandina sintética
DAYAMINERAL FCO 240 ML,Solución oral,Suplemento mineral,Minerales,Según indicación médica,Suplemento nutricional
DEKA C ADULTO CAJA X 3 AMPOLLAS,Ampollas inyectables,Suplemento de vitamina C,Vitamina C,Según indicación médica,Suplemento nutricional
DEKA C INFANTIL  CAJA X3 AMPOLLAS,Ampollas,Suplemento vitamínico,Vitamina C,Según indicación médica,Suplemento vitamínico
DEKA C JBE  ADULTO 240 ML,Jarabe,Suplemento vitamínico,Vitamina C,Según indicación médica,Suplemento vitamínico
DEKA C JBE NIÑO  240 ML,Jarabe,Suplemento vitamínico para niños,Vitamina C,Según indicación médica,Suplemento vitamínico
DENGUINITA NIÑOS CAJA X 100 BLIST X 10,Tabletas,Antipirético y analgésico para niños,Paracetamol,Según peso y edad del niño,Antipirético y analgésico
DEXKETOPROFENO+NEUROTROPA KIT,Kit,Analgésico y antiinflamatorio,Dexketoprofeno + Neurotrofina,Según indicación médica,Analgésico y antiinflamatorio
DIAZEPAN 10 MGS MK BLIS X 10 CAJA X 100,Tabletas,Ansiolítico y sedante,Diazepam,Según indicación médica,Ansiolítico y sedante
DIBETES FCO X 100 TABS,Tabletas,Suplemento dietético,Vitaminas y minerales,Según indicación médica,Suplemento dietético
DICLO+NEURO SHEKINAH BLIS X 10 GEL CAPS CAJA X 100,Cápsulas,Analgésico y antiinflamatorio,Diclofenaco + Neurotrofina,Según indicación médica,Analgésico y antiinflamatorio
DICO GRIP A.M CAJA X 24 SOBRES,Sobres,Alivio de síntomas gripales en la mañana,Paracetamol + Pseudoefedrina,Según indicación médica,Alivio de síntomas gripales
DICO GRIP P.M CAJA X 24 SOBRES,Sobres,Alivio de síntomas gripales en la noche,Paracetamol + Clorfenamina,Según indicación médica,Alivio de síntomas gripales
DIPIRONA+DEXAMETASONA X 3 DOSIS,Solución inyectable,Analgésico y antiinflamatorio,"Dipirona, Dexametasona",Según indicación médica,Alivio del dolor y reducción de la inflamación
DOLO NEUROBION  CAJA X 120 BLIST X 5,Tabletas,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso
DOLO NEUROBION FORTE DC,Tabletas,Analgésico y antiinflamatorio,"Diclofenaco, Vitaminas B1, B6, B12",Según indicación médica,Alivio del dolor y reducción de la inflamación
DOLO NEUROBION KIT INYECTADO 2 AMP,Solución inyectable,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso
DOLO NEUROBION XR BLIS X 5 TAB CAJA X 60,Tabletas de liberación prolongada,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso
DOLO TETRAVIT KIT,Tabletas,Suplemento vitamínico,"Vitaminas A, D, E, K",Según indicación médica,Mejora del estado nutricional
DOLOVITANERVO PIERSAN  BLIST X 10  CAJA X  150,Tabletas,Analgésico y neuroprotector,"Vitaminas B1, B6, B12, Ácido fólico",Según indicación médica,Alivio del dolor y protección del sistema nervioso
DOMINAL CAJA X 100 SOBRES,Sobres granulados,Antiespasmódico y analgésico,Metamizol sódico,Según indicación médica,Alivio del dolor y reducción de espasmos
DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,Grageas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Alivio del dolor y reducción de la inflamación
DULSITOS JBE 120 ML,Jarabe,Antitusivo y expectorante,"Dextrometorfano, Guaifenesina",Según indicación médica,Alivio de la tos y facilita la eliminación de mucosidad
ENANTYUM 25 MG CAJA X 10 TABLETAS,Tabletas,Analgésico y antiinflamatorio,Dexketoprofeno,25 mg,Analgésico y antiinflamatorio no esteroideo
ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,Ampollas para bebida,Restaurador de la flora intestinal,Bacillus clausii,2 billones de esporas,Restaurador de la flora intestinal
ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,Sobres,Alivio de cólicos y espasmos intestinales,Hioscina-N-butilbromuro,Varía según la presentación,Antiespasmódico
EXPECTORANTE COMPUESTO LANCASCO 120 ML,Jarabe,Ayuda a expulsar las flemas,Varios principios activos,Varía según la presentación,Expectorante
FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS,Gomitas,Suplemento de fibra dietética,Fibra,3 mg por gomita,Suplemento dietético
FLAMYDOL AMPOLLA,Ampolla,Analgésico y antiinflamatorio,Meloxicam,Varía según la presentación,Analgésico y antiinflamatorio no esteroideo
FLAMYDOL RETARD CAJA X 48 BLIST X 4,Comprimidos de liberación prolongada,Analgésico y antiinflamatorio de liberación prolongada,Meloxicam,Varía según la presentación,Analgésico y antiinflamatorio no esteroideo
FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,Jarabe,Mucolítico y expectorante,Ambroxol,Varía según la presentación,Mucolítico y expectorante
FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,Jarabe,Mucolítico y antitusivo,Ambroxol y clembuterol,Varía según la presentación,Mucolítico y antitusivo
FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,Jarabe,Mucolítico y antihistamínico,Ambroxol y loratadina,Varía según la presentación,Mucolítico y antihistamínico
GASA POR UNIDAD BOLSA X 100,Bolsa,Para curaciones y limpieza de heridas,No aplica,Según necesidad,Absorción de líquidos y protección de heridas
GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,Cápsulas,Para problemas gastrointestinales,No especificado,Según indicación médica,Regulación del sistema digestivo
GINCKO + NEURO CAJA X 60 BLIST X 10,Tabletas,Para mejorar la función cerebral y nerviosa,Ginkgo Biloba y vitaminas del complejo B,1 tableta al día,Estimulación cognitiva y nerviosa
GINSENG ESENCIAL FCO 75 ML,Frasco,Tónico energizante,Ginseng,Según indicación médica,Aumento de la vitalidad y resistencia
GLICITOS L (AMBROXOL+LORATADINA)120 ML SELEC,Jarabe,Para la tos y alergias,Ambroxol y Loratadina,Según peso y edad del paciente,Mucolítico y antihistamínico
GRANEODIN FRAMBUESA CAJA X 24 PASTILLAS,Pastillas,Para el alivio de la garganta irritada,No especificado,Chupar una pastilla cada 4 horas,Alivio del dolor de garganta
GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS,Pastillas,Para el alivio de la garganta irritada con sabor a miel y limón,No especificado,Chupar una pastilla cada 4 horas,Alivio del dolor de garganta
HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,Gotas,Suplemento vitamínico para el hígado y complejo B,Hígado crudo y vitaminas del complejo B,Según indicación médica,Mejora la función hepática y aporta energía
HIDRAVIDA COCO,Bebida,Bebida hidratante sabor a coco,No aplica,Según necesidad,Hidratación y aporte de electrolitos
HIDRAVIDA FRESA,Bebida,Bebida hidratante sabor a fresa,No aplica,Según necesidad,Hidratación y aporte de electrolitos
HIDRAVIDA JAMAICA,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIDRAVIDA LIMA LIMON,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIDRAVIDA MARACUYA,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIDRAVIDA MORA -AZUL ,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIDRAVIDA NARANJA-MANDARINA,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIDRAVIDA UVA,Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo
HIERRO KIDS 240 ML,Jarabe,Suplemento de hierro para niños,Hierro,Según indicación médica,Ayuda a prevenir o tratar la deficiencia de hierro en niños
HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,Gotas,Suplemento de extracto de hígado,Extracto de hígado,Tomar 10 gotas al día,Ayuda a mantener la salud del hígado
IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,Tabletas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Alivia el dolor y reduce la inflamación
LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,Cápsulas,Inhibidor de la bomba de protones,Lansoprazol,Tomar 1 cápsula al día,Reduce la producción de ácido en el estómago
LECHE DE MAGNESIA PHILIPS 60 ML,Líquido,Laxante y antiácido,Hidróxido de magnesio,60 ml,Laxante y neutralizante de ácido estomacal
LIMPIA COLON FCO X 100 TABS,Tabletas,Suplemento dietético para limpieza del colon,No especificado,100 tabletas,Suplemento dietético
LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,Tabletas,Antiinflamatorio y analgésico,Diclofenaco sódico,100 mg,Antiinflamatorio y analgésico
LOMBRINIÑOS CAJA X 40 SOBRES,Sobres,Antiparasitario para lombrices intestinales,No especificado,40 sobres,Antiparasitario
LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,Cápsulas,Antihistamínico para alergias,Loratadina,10 mg,Antihistamínico
MAGNESIA SANTE 120 ML FCO,Líquido,Laxante y antiácido,Hidróxido de magnesio,120 ml,Laxante y neutralizante de ácido estomacal
MARIGUANOL BOTE,Crema,Analgésico tópico,Cannabis,No especificado,Analgésico tópico
MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,Tabletas,Suplemento para regular el sueño,Melatonina,5 mg,Regulador del sueño
MENOESTROGEN FRASCO X 30 TAB,Tabletas,Terapia hormonal para menopausia,Estrógenos,30 tabletas,Terapia hormonal
MENTOL DAVIS MUESTRA,Crema,Analgésico tópico,Mentol,Muestra,Analgésico tópico
MIGRADORIXINA BLIST X 10 CAJA X 100,Tableta,Tratamiento de la migraña,Sumatriptán,1 tableta cada vez que se presente la migraña,Agonista selectivo de los receptores de serotonina
NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,Tableta,Tratamiento de las náuseas,Dimenhidrinato,1 tableta cada 4-6 horas según sea necesario,Antihistamínico y antiemético
NEOBOL CREMA 30 GRS,Crema,Tratamiento de quemaduras y heridas leves,Dexpantenol,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,Cicatrizante y regenerador de la piel
NEOBOL SPRAY 30 ML,Spray,Tratamiento de quemaduras y heridas leves,Dexpantenol,Aplicar sobre la zona afectada 2-3 veces al día,Cicatrizante y regenerador de la piel
NEOMELUBRINA AMPOLLA 2 ML,Ampolla,Analgésico y antipirético,Dipirona,Según prescripción médica,Inhibidor de la síntesis de prostaglandinas
NEOMELUBRINA CAJA X 100 BLIST X 4,Tableta,Analgésico y antipirético,Dipirona,Según prescripción médica,Inhibidor de la síntesis de prostaglandinas
NERVESSA PASTILLAS DISP  50,Tableta,Suplemento vitamínico para el sistema nervioso,Complejo B,1 tableta al día,Suplemento vitamínico
NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,Tableta efervescente,Suplemento vitamínico para el sistema nervioso,Tiamina (vitamina B1),1 tableta al día disuelta en agua,Suplemento vitamínico
NEUMONIL AMPOLLA 1 ML,Ampolla,Broncodilatador para el tratamiento del asma,Salbutamol,Según prescripción médica,Agonista de los receptores beta-2 adrenérgicos
NEURO NERVIOL CAJA X 10 AMPOLLAS,Ampolla,Suplemento vitamínico para el sistema nervioso,Complejo B,Según prescripción médica,Suplemento vitamínico
NEUROBION,CAJA X 120 TAB BLIST X 5,Suplemento vitamínico,"Vitaminas B1, B6 y B12",1 tableta al día,Mejora la función nerviosa
"NEUROBION 25,000",1 DOSIS CAMARA,Suplemento vitamínico,Vitamina B12,1 dosis,Mejora la función nerviosa
"NEUROBION 25,000",KIT INYECTADO 1 AMP,Suplemento vitamínico,Vitamina B12,1 inyección,Mejora la función nerviosa
NEXT,BLIST X 10 CAJA X 20,Antiinflamatorio,Desconocido,Según indicación médica,Reduce la inflamación
NIKSON,CAJA X 90 BLIST X 10,Analgésico,Paracetamol,Según indicación médica,Alivia el dolor
NORMA CYCLE 28,FACO 240 ML (REGULADOR),Regulador menstrual,Desconocido,Según indicación médica,Regula el ciclo menstrual
OJO DE AGUILA CON VITA A,40 ML,Colirio,Vitamina A,Según indicación médica,Mejora la salud ocular
OMEGA 3 1000 MG,caja x 30 BLIST. X 10 FORALSALUD,Suplemento dietético,Ácidos grasos omega 3,1 cápsula al día,Beneficios para la salud cardiovascular
OMEGA 3 6 9 1200 MG,VESA FCO X 100 GELCAPS,Suplemento dietético,"Ácidos grasos omega 3, 6 y 9",1 cápsula al día,Beneficios para la salud cardiovascular
OVARICION,JARABE 240 ML,Suplemento alimenticio,Desconocido,Según indicación médica,Apoyo para la salud ovárica
OVARICON CAJA X 30 TAB BLISTER X 10,Tabletas,Tratamiento para regular el ciclo menstrual y aliviar los síntomas del síndrome de ovario poliquístico,Clomifeno,"1 tableta diaria durante 5 días, comenzando en el quinto día del ciclo menstrual",Estimula la ovulación
PANADOL EXTRAFUERTE X 50 SOBRE,Sobres de polvo,Alivio del dolor y la fiebre intensos,Paracetamol,1 sobre cada 4-6 horas según sea necesario,Analgésico y antipirético
PANADOL MULTISINTOMAS X 24 SOBRES,Sobres de polvo,"Alivio de múltiples síntomas como dolor de cabeza, fiebre, congestión nasal y dolor de garganta","Paracetamol, clorfenamina, fenilefrina",1 sobre cada 6 horas según sea necesario,Alivio de síntomas múltiples
PANADOL SINUS X 26 SOBRES,Sobres de polvo,Alivio de la congestión nasal y el dolor de cabeza asociados con sinusitis,"Paracetamol, clorfenamina, fenilefrina",1 sobre cada 6 horas según sea necesario,Descongestionante y analgésico
PANADOL ULTRA X 52 SOBRES,Sobres de polvo,Alivio del dolor y la fiebre intensos,"Paracetamol, cafeína",1 sobre cada 4-6 horas según sea necesario,"Analgésico, antipirético y estimulante"
PARACETAMOL 750 MG  ECOMED CAJA X 60 TAB  BLIST X5,Tabletas,Alivio del dolor y la fiebre,Paracetamol,1 tableta cada 4-6 horas según sea necesario,Analgésico y antipirético
PEPTO BISMOL 118 ML (4 ONZ),Suspensión oral,"Alivio de la acidez estomacal, indigestión y malestar gastrointestinal",Bismuto subsalicilato,Según indicación médica,Protector gástrico y antidiarreico
PEPTOBISMOL TIRA  X 24 TAB,Tabletas masticables,"Alivio de la acidez estomacal, indigestión y malestar gastrointestinal",Bismuto subsalicilato,Según indicación médica,Protector gástrico y antidiarreico
PILDORA DE WITT BLIST X 20 CAJA X 100,Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales varios,1 tableta diaria,Suplemento nutricional
PIOFIN FCO 60 ML,Frascos de solución,Antitusivo para el alivio de la tos,Dextrometorfano,Según indicación médica,Antitusivo
POMADA DE LA CAMPANA 19 GRS,Pomada,"Para el alivio de irritaciones de la piel, quemaduras leves y picaduras de insectos.",Óxido de Zinc,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día.,Protector y cicatrizante de la piel.
POMADA DE LA CAMPANA 35 GRS,Pomada,"Para el alivio de irritaciones de la piel, quemaduras leves y picaduras de insectos.",Óxido de Zinc,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día.,Protector y cicatrizante de la piel.
PROMETEST PRUEBA DE EMBARAZO,Prueba de embarazo,Para determinar si existe un embarazo mediante la detección de la hormona hCG en la orina.,No aplica,Seguir las instrucciones del fabricante incluidas en el empaque.,Detecta la presencia de la hormona hCG en la orina.
PULMO GRIP JBE 120 ML,Jarabe,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Tomar 10 ml cada 6 horas.,"Analgésico, descongestionante y antitusivo."
PULMO GRIP KIT,Kit,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Seguir las instrucciones del fabricante incluidas en el empaque.,"Analgésico, descongestionante y antitusivo."
PULMOGRIP JBE 240 ML,Jarabe,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Tomar 10 ml cada 6 horas.,"Analgésico, descongestionante y antitusivo."
QG5 DUO CAJA X 2 FCOS,Cápsulas,Suplemento dietético para el alivio de la acidez estomacal y la indigestión.,"Simeticona, Aluminio y Magnesio",Tomar 1 cápsula después de las comidas principales.,Antiflatulento y antiácido.
RABANO YODADO 240 ML DRAGON,Jarabe,Suplemento dietético para el tratamiento de problemas de la tiroides.,Yodo,Seguir las indicaciones del médico.,Suplemento de yodo para la tiroides.
REUMETAMEX FORTE (NAPROXENO 86 MG),Tabletas,Antiinflamatorio no esteroideo para el alivio del dolor y la inflamación.,Naproxeno,Tomar 1 tableta cada 8 horas.,Antiinflamatorio y analgésico.
SAL ANDREWS DISP X 50 SOBRES,Sobres,Sales de rehidratación oral para el tratamiento de la deshidratación causada por diarrea o vómito.,"Cloruro de Sodio, Citrato de Sodio, Glucosa",Seguir las instrucciones del médico o del fabricante.,Rehidratante y repositor de electrolitos.
SAL DE UVAS PICOT CAJA X 50,Tabletas efervescentes,Alivio de la acidez estomacal y malestar digestivo,Bicarbonato de sodio,1 tableta disuelta en agua después de las comidas,Neutraliza el ácido estomacal
SALBUTAMOL 100MCG X DOSIS SPRAY PROMEGAL,Spray inhalador,Alivio de los síntomas de asma y enfermedad pulmonar obstructiva crónica (EPOC),Salbutamol,1-2 inhalaciones según necesidad,Broncodilatador
SALUPRIM TAB CAJA X 50 BLIST X 5 (TRIMETROPRIM),Tabletas,Tratamiento de infecciones bacterianas,Trimetoprim,Según indicación médica,Antibiótico
SANA SANA POMADA LATITA DE PLASTICO,Pomada,Cicatrizante y antiséptico tópico,"Vaselina, óxido de zinc",Aplicar en la zona afectada según necesidad,Promueve la cicatrización y previene infecciones
SANIRENAL CAJA X 100 BLIST X 10,Tabletas,Suplemento para la salud renal,"Extracto de arándano, vitamina C",1 tableta al día,Apoyo a la función renal
SERAFON GUAYACOL+EUCALI) X 1000,Jarabe,Expectorante y descongestionante,"Guayacol, eucalipto",Según indicación médica,Facilita la expulsión de mucosidad
SERTAL COMPUESTO BLIS X 10 CAJA X 200,Tabletas,Alivio del dolor y la inflamación,"Dipirona, cafeína, meclofenamato",Según indicación médica,Analgésico y antiinflamatorio
SERTAL COMPUESTO X 3 DOSIS,Ampollas,Analgésico y antiespasmódico,"Dipirona, cafeína, meclofenamato",Según indicación médica,Alivio del dolor y espasmos musculares
SHAMPOO MEDICASP 130.ML,Shampoo,Tratamiento para la caspa,Piritiona de zinc,Aplicar en el cuero cabelludo y masajear,Antifúngico y queratolítico
SIXTYNINE (SILDEN X 100 MGS) CAJA X 30 SOB Y CART X 4,Tabletas,Tratamiento de la disfunción eréctil,Sildenafil,Según indicación médica,Vasodilatador
SUCRADEL CAJA X 30 SOBRES,Sobres,Suplemento dietético,Sucralosa,1 sobre al día,Edulcorante sin calorías
SUCRASSYL CAJA X 30 PAHIL,Pastillas,Suplemento dietético,Sucralosa,1 pastilla al día,Edulcorante sin calorías
SUKROL BEBIBLE CAJA X 10 VIAL,Solución,Suplemento vitamínico,Vitaminas y minerales,1 vial al día,Aporte de nutrientes esenciales
SUKROL NIÑO JARABE 240 ML,Jarabe,Suplemento vitamínico para niños,Vitaminas y minerales,Según indicación pediátrica,Aporte de nutrientes esenciales
SUKROL TAB  CAJA X 100,Tabletas,Suplemento vitamínico,Vitaminas y minerales,1 tableta al día,Aporte de nutrientes esenciales
TE ANTIGRIPAL CAJA X 20 SOBRES,Sobres,Tratamiento para la gripe,"Paracetamol, fenilefrina, clorfenamina",1 sobre cada 6 horas,"Analgésico, descongestionante, antihistamínico"
TE CHUPA GRASA CAJA X 30,Cápsulas,Suplemento dietético,"Extracto de té verde, L-carnitina",2 cápsulas al día,Quemador de grasa
TE CHUPA PANZA CAJA X 30,Cápsulas,Suplemento dietético,"Fibra, L-carnitina",2 cápsulas al día,Reductor de abdomen
TE DE ALCACHOFA GN+V X 30 SOBRES,Sobres,Infusión para la digestión,"Alcachofa, boldo, diente de león",1 sobre después de las comidas,Digestivo y depurativo
TE DE PIÑALIN CAJA X 30 SOBRES,Sobres,Infusión para la digestión,"Piña, linaza, tamarindo",1 sobre después de las comidas,Digestivo y laxante suave
TE GINKO BILOBA CAJA X 20 SOBRES,Sobres,Suplemento dietético para mejorar la memoria y la circulación sanguínea,Ginkgo Biloba,1 sobre al día,Mejora la circulación sanguínea y la función cognitiva
TE LIMON + JENGIBRE CAJA X 20 SOBRES,Sobres,Infusión para mejorar la digestión y aliviar malestares estomacales,"Limón, Jengibre",1 sobre después de las comidas,Digestivo y antiinflamatorio
TE MANZANILLA + TILO  CAJA X 20 SOBRES,Sobres,Infusión para calmar los nervios y conciliar el sueño,"Manzanilla, Tilo",1 sobre antes de dormir,Sedante y relajante
TE MANZANILLA CAJA X 20 SOBRES,Sobres,Infusión para calmar el malestar estomacal y aliviar la ansiedad,Manzanilla,1 sobre después de las comidas,Digestivo y ansiolítico
TE PARA LA DIABETES CAJA X 20 SOB VIDA,Sobres,Infusión para ayudar a controlar los niveles de azúcar en sangre en personas con diabetes,Hierbas especiales para la diabetes,1 sobre antes de cada comida,Regulador de la glucosa
TE PARA LA NOCHE CAJA X 20 SOBRES,Sobres,Infusión para promover el sueño y mejorar la calidad del descanso nocturno,Hierbas relajantes,1 sobre antes de dormir,Sedante y relajante
